index;subindex;description;type;access;rxPDO;txPDO
0x2230;0x0;RAFT Node ID;UNSIGNED8;RO;0;1
0x2231;0x0;RAFT State;UNSIGNED8;RO;0;1
0x2232;0x0;Current Term;UNSIGNED32;RO;0;1
0x2233;0x0;Voted For;UNSIGNED8;RW;0;0
0x2234;0x0;Leader ID;UNSIGNED8;RO;0;1
0x2235;0x0;Cluster Size;UNSIGNED8;RW;0;0
0x2236;0x0;Majority Threshold;UNSIGNED8;RO;0;0
0x2237;0x0;Commit Index;UNSIGNED32;RO;0;1
0x2238;0x0;Last Applied;UNSIGNED32;RO;0;0
0x2239;0x0;Last Log Index;UNSIGNED32;RO;0;1
0x223A;0x0;Last Log Term;UNSIGNED32;RO;0;1
0x223B;0x0;Election Timeout Min (ms);UNSIGNED32;RW;0;0
0x223C;0x0;Election Timeout Max (ms);UNSIGNED32;RW;0;0
0x223D;0x0;Heartbeat Period (ms);UNSIGNED32;RW;0;0
0x223E;0x0;RAFT Control;UNSIGNED8;RW;1;0
0x223F;0x0;RAFT Status Flags;UNSIGNED32;RO;0;1
0x2240;0x0;RequestVote Tx Counter;UNSIGNED32;RO;0;0
0x2241;0x0;RequestVote Rx Counter;UNSIGNED32;RO;0;0
0x2242;0x0;AppendEntries Tx Counter;UNSIGNED32;RO;0;0
0x2243;0x0;AppendEntries Rx Counter;UNSIGNED32;RO;0;0
0x2244;0x0;Vote Granted Counter;UNSIGNED32;RO;0;0
0x2245;0x0;Vote Rejected Counter;UNSIGNED32;RO;0;0
0x2246;0x0;Term Change Counter;UNSIGNED32;RO;0;0
0x2247;0x0;Leader Change Counter;UNSIGNED32;RO;0;0
0x2248;0x0;Log Entry Count;UNSIGNED32;RO;0;0
0x2249;0x0;Log Byte Count;UNSIGNED32;RO;0;0
0x224A;0x0;Last Error Code;UNSIGNED32;RO;0;0
0x224B;0x0;Error Counter;UNSIGNED32;RO;0;0
0x224C;0x0;Replication Latency (us);UNSIGNED32;RO;0;0
0x224D;0x0;Apply Latency (us);UNSIGNED32;RO;0;0
0x224E;0x0;Election Deadline Remaining (ms);UNSIGNED32;RO;0;0
0x224F;0x0;Heartbeat Deadline Remaining (ms);UNSIGNED32;RO;0;0
